Year,Month,Day,pmeZip,pmeLatitude,pmeLongitude,Zipcode_4digits
2017,1,1,2552KT,52.0544929,4.2538619,2552
2017,1,1,2512VA,52.0737920,4.2998700,2512
2017,1,1,2542KA,52.0429026,4.2520286,2542
2017,1,1,2566MJ,52.0850276,4.2713382,2566
2017,1,1,2513TK,52.0783023,4.3015879,2513
2017,1,1,2566MJ,52.0850276,4.2713382,2566
2017,1,1,2566MJ,52.0850276,4.2713382,2566
2017,1,1,2525CZ,52.0663606,4.3028286,2525
2017,1,1,2583DG,52.1028851,4.2676113,2583
2017,1,1,2597AX,52.1024090,4.3162300,2597
2017,1,1,2542XE,52.0349166,4.2596333,2542
2017,1,1,2512VA,52.0737920,4.2998700,2512
2017,1,1,2564VD,52.0719050,4.2614435,2564
2017,1,1,2551SM,52.0555866,4.2341203,2551
2017,1,1,2551GA,52.0605976,4.2327078,2551
2017,1,1,2524JG,52.0529132,4.3155768,2524
2017,1,1,2522HV,52.0595074,4.3261078,2522
2017,1,1,\N,52.0698576,4.2911114,\N
2017,1,1,2521PX,52.0671831,4.3293740,2521
2017,1,1,2524EC,52.0540797,4.3212936,2524
2017,1,1,2524EC,52.0540797,4.3212936,2524
2017,1,1,2586SC,52.1063095,4.2770725,2586
2017,1,1,2592VH,52.0910026,4.3522402,2592
2017,1,1,2543TD,52.0421460,4.2626822,2543
2017,1,1,2572HJ,52.0647600,4.2940148,2572
2017,1,1,2524EC,52.0540797,4.3212936,2524
2017,1,1,2547DW,52.0572085,4.2613321,2547
2017,1,1,2547DW,52.0572085,4.2613321,2547
2017,1,1,2525GE,52.0656277,4.3013296,2525
2017,1,1,2513TK,52.0783023,4.3015879,2513
2017,1,1,2525GE,52.0656277,4.3013296,2525
2017,1,1,2532RK,52.0491949,4.2963193,2532
2017,1,1,2545HP,52.0611268,4.2616075,2545
2017,1,1,2547ED,52.0604617,4.2672203,2547
2017,1,1,2555XZ,52.0634598,4.2462889,2555
2017,1,1,2518JL,52.0824650,4.2861870,2518
2017,1,1,2542TK,52.0387667,4.2731501,2542
2017,1,1,2582BV,52.0943530,4.2769170,2582
2017,1,1,2526TJ,52.0704589,4.3066821,2526
2017,1,1,2552ES,52.0584142,4.2503649,2552
2017,1,1,2532RX,52.0545776,4.3063657,2532
2017,1,1,2544JM,52.0464297,4.2594600,2544
2017,1,1,2583DG,52.1028851,4.2676113,2583
2017,1,1,2542BK,52.0390198,4.2694741,2542
2017,1,1,2572PC,52.0621084,4.2915601,2572
2017,1,1,2513PX,52.0761955,4.2971197,2513
2017,1,1,2565CN,52.0767124,4.2621997,2565
2017,1,1,2596RH,52.0957807,4.3165926,2596
2017,1,1,2564HH,52.0704819,4.2611438,2564
2017,1,1,2596RH,52.0957807,4.3165926,2596
2017,1,1,2545BM,52.0447476,4.2744591,2545
2017,1,1,2513AH,52.0791012,4.3100768,2513
2017,1,1,2592VW,52.0907689,4.3512241,2592
2017,1,1,2572HH,52.0620465,4.2960644,2572
2017,1,1,2526ME,52.0637602,4.3113648,2526
2017,1,1,2562HR,52.0745860,4.2790610,2562
2017,1,1,2592AG,52.0916729,4.3487370,2592
2017,1,1,2512SE,52.0697357,4.2955122,2512
2017,1,1,2518LH,52.0746076,4.2922510,2518
2017,1,1,2586GK,52.1089759,4.2832981,2586
2017,1,1,2511BW,52.0764340,4.3177307,2511
2017,1,1,2554HG,52.0712738,4.2370417,2554
2017,1,1,2532TV,52.0471307,4.2976086,2532
2017,1,2,2597JG,52.1004242,4.3008548,2597
2017,1,2,2522AL,52.0626901,4.3281761,2522
2017,1,2,2524JL,52.0524765,4.3140126,2524
2017,1,2,2283TB,52.0506917,4.3192357,2283
2017,1,2,2526NJ,52.0692468,4.3029191,2526
2017,1,2,2522EV,52.0604503,4.3290020,2522
2017,1,2,2563ZS,52.0757849,4.2733194,2563
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2526NJ,52.0692468,4.3029191,2526
2017,1,2,2491BC,52.0569963,4.3926883,2491
2017,1,2,2571GN,52.0618914,4.2910886,2571
2017,1,2,2571GN,52.0618914,4.2910886,2571
2017,1,2,2493WP,52.0561416,4.4043100,2493
2017,1,2,2493WP,52.0561416,4.4043100,2493
2017,1,2,2553EB,52.0355930,4.2293007,2553
2017,1,2,2515AP,52.0734992,4.3246965,2515
2017,1,2,2511BJ,52.0758664,4.3098941,2511
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,2518PA,52.0746442,4.2955821,2518
2017,1,2,2518PA,52.0746442,4.2955821,2518
2017,1,2,2582HW,52.0964969,4.2764551,2582
2017,1,2,2525NP,52.0618120,4.3047471,2525
2017,1,2,2542XG,52.0344730,4.2602420,2542
2017,1,2,2592TZ,52.0934297,4.3553362,2592
2017,1,2,2582HW,52.0964969,4.2764551,2582
2017,1,2,2548EN,52.0365884,4.2804627,2548
2017,1,2,2547DW,52.0572085,4.2613321,2547
2017,1,2,2597GT,52.1051997,4.3228967,2597
2017,1,2,2511DH,52.0790237,4.3203991,2511
2017,1,2,2511DH,52.0790237,4.3203991,2511
2017,1,2,2553AW,52.0518920,4.2331802,2553
2017,1,2,2547CD,52.0623931,4.2631411,2547
2017,1,2,2497CG,52.0390614,4.3657475,2497
2017,1,2,2592VW,52.0907689,4.3512241,2592
2017,1,2,2565DG,52.0790076,4.2623286,2565
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2565DG,52.0790076,4.2623286,2565
2017,1,2,2586HC,52.1067171,4.2821862,2586
2017,1,2,2585VC,52.0915910,4.3032276,2585
2017,1,2,2491BC,52.0569963,4.3926883,2491
2017,1,2,2562VG,52.0765768,4.2839958,2562
2017,1,2,2545GC,52.0525968,4.2708668,2545
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2544JB,52.0449710,4.2620187,2544
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2517TK,52.0841900,4.2789306,2517
2017,1,2,2548JD,52.0308061,4.2840673,2548
2017,1,2,2542XA,52.0351989,4.2609525,2542
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2573LD,52.0683802,4.2821997,2573
2017,1,2,2573LD,52.0683802,4.2821997,2573
2017,1,2,2512XP,52.0719509,4.3056833,2512
2017,1,2,2512VA,52.0740415,4.2992255,2512
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,2597KE,52.1067701,4.3063299,2597
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,2563HN,52.0720994,4.2705406,2563
2017,1,2,2551GN,52.0605789,4.2359548,2551
2017,1,2,2523CN,52.0572644,4.3186077,2523
2017,1,2,2547VJ,52.0608850,4.2633540,2547
2017,1,2,2584GB,52.1048438,4.2808458,2584
2017,1,2,2525ES,52.0646448,4.3000117,2525
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2493CJ,52.0660849,4.3962892,2493
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2525ES,52.0646448,4.3000117,2525
2017,1,2,2511BG,52.0751975,4.3091724,2511
2017,1,2,2492NS,52.0674187,4.4125983,2492
2017,1,2,2592BB,52.0892870,4.3513606,2592
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2545VN,52.0523568,4.2711498,2545
2017,1,2,2511BG,52.0758024,4.3087463,2511
2017,1,2,2511BG,52.0758024,4.3087463,2511
2017,1,2,2552CW,52.0523256,4.2416839,2552
2017,1,2,2525CE,52.0659480,4.3042200,2525
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2543SE,52.0432660,4.2610448,2543
2017,1,2,2517RA,52.0800704,4.2788909,2517
2017,1,2,2572ND,52.0617165,4.2963495,2572
2017,1,2,2552MB,52.0517310,4.2498931,2552
2017,1,2,2552MB,52.0517310,4.2498931,2552
2017,1,2,2523AP,52.0590939,4.3221221,2523
2017,1,2,2541RH,52.0451390,4.2835751,2541
2017,1,2,2574VD,52.0669161,4.2767339,2574
2017,1,2,2546TL,52.0599610,4.2749121,2546
2017,1,2,2526KL,52.0707842,4.3019325,2526
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,2544RP,52.0391423,4.2513061,2544
2017,1,2,2518LH,52.0746076,4.2922510,2518
2017,1,2,2592XW,52.0868575,4.3551668,2592
2017,1,2,2526KL,52.0707842,4.3019325,2526
2017,1,2,2565BN,52.0763763,4.2552769,2565
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2573BK,52.0631551,4.2838454,2573
2017,1,2,2512VA,52.0740415,4.2992255,2512
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2491EA,52.0722864,4.3768868,2491
2017,1,2,2521SR,52.0658834,4.3264379,2521
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,2491EA,52.0722864,4.3768868,2491
2017,1,2,2526AL,52.0646474,4.3090975,2526
2017,1,2,2543SW,52.0416206,4.2679336,2543
2017,1,2,\N,52.0698576,4.2911114,\N
2017,1,2,2566MJ,52.0807468,4.2620525,2566
2017,1,2,2552LC,52.0490144,4.2471370,2552
2017,1,2,2524ER,52.0549532,4.3135449,2524
2017,1,2,2595AK,52.0799962,4.3340430,2595
2017,1,2,2512VA,52.0740415,4.2992255,2512
2017,1,2,2544RP,52.0391423,4.2513061,2544
2017,1,2,2547GM,52.0637727,4.2753054,2547
2017,1,2,2591BE,52.0928753,4.3628791,2591
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2591BE,52.0928753,4.3628791,2591
2017,1,2,2493WZ,52.0571180,4.3999568,2493
2017,1,2,2592VN,52.0911086,4.3499905,2592
2017,1,2,2516CK,52.0667053,4.3511104,2516
2017,1,2,2542AA,52.0408016,4.2725602,2542
2017,1,2,2515BW,52.0711296,4.3230900,2515
2017,1,2,2552BT,52.0505913,4.2354487,2552
2017,1,2,2552CG,52.0533500,4.2407246,2552
2017,1,2,2542AA,52.0408016,4.2725602,2542
2017,1,2,2532CL,52.0522596,4.3021058,2532
2017,1,2,2552CG,52.0533500,4.2407246,2552
2017,1,2,2595AW,52.0818855,4.3448062,2595
2017,1,2,2543XG,52.0386231,4.2552693,2543
2017,1,2,2543XG,52.0386231,4.2552693,2543
2017,1,2,\N,52.0095070,4.3605150,\N
2017,1,2,2582RH,52.0962482,4.2815547,2582
2017,1,2,2531VM,52.0549419,4.2995766,2531
2017,1,2,2564AG,52.0703731,4.2535472,2564
2017,1,2,2532CL,52.0522596,4.3021058,2532
2017,1,2,2564AG,52.0703731,4.2535472,2564
2017,1,2,2591BE,52.0928753,4.3628791,2591
2017,1,2,2571GA,52.0598149,4.2927356,2571
2017,1,2,2512VA,52.0737920,4.2998700,2512
2017,1,2,2597AX,52.1024090,4.3162300,2597
2017,1,2,2547CT,52.0628710,4.2708584,2547
2017,1,2,2518PB,52.0746372,4.2948237,2518
2017,1,2,2587RS,52.1134835,4.2934075,2587
2017,1,2,2525PG,52.0682946,4.2981144,2525
2017,1,2,2512BS,52.0753642,4.3118206,2512
2017,1,2,2565TK,52.0757492,4.2601943,2565
