neigb_cijf,Gross population density,Average age of population,Grey pressure (65+ as % of 15 to 64-year-olds),Green pressure (-14 as % of 15 to 64-year-olds),% Dutch natives,% private households with a low income,% private households with an average income,% private households with a high income,"Number of establishments, transportation and storage",Number of medical facilities,gross non-housing density (BAG),non-housing density (rateable value (OZB)),gross housing density (BAG),All offences,% companies,Bouw,Number of residents per 1-
01 Oud Scheveningen,113.7,42.3,26.0,19.8,77.0,52.1,35.0,12.9,8.0,3.0,7.4,1.7,65.5,106.0,7.0,99.0,2920.0
02 Vissershaven,48.1,43.2,34.7,25.9,72.7,49.6,32.5,17.9,18.0,6.0,9.3,1.8,26.3,371.0,22.0,142.0,3563.0
03 Scheveningen Badplaats,106.8,41.2,24.3,20.1,66.3,41.8,37.3,20.9,11.0,8.0,6.6,1.6,64.9,459.0,5.5,133.0,5396.0
04 Visserijbuurt,142.5,43.2,35.5,23.9,66.0,52.0,31.6,16.4,4.0,5.0,10.2,1.8,80.7,204.0,8.1,88.0,3867.0
05 v Stolkpark/Schev Bosjes,7.0,49.2,61.1,25.6,58.6,27.4,29.0,43.6,0.0,2.0,0.6,1.6,4.3,60.0,5.3,8.0,758.0
06 Waldeck-Zuid,101.9,49.4,62.6,23.9,65.6,56.9,35.2,7.9,3.0,6.0,6.4,1.7,59.6,60.0,0.0,25.0,2043.0
07 Statenkwartier,95.5,40.4,27.0,28.8,54.2,28.0,30.9,41.0,6.0,20.0,5.4,2.0,47.6,359.0,4.8,442.0,9669.0
08 Geuzenkwartier,139.4,42.3,31.4,24.1,72.8,43.3,38.9,17.8,4.0,4.0,6.1,1.9,75.1,163.0,4.5,95.0,4398.0
09 Vogelwijk,20.0,41.5,34.1,36.9,72.8,12.1,30.0,57.9,3.0,10.0,0.4,2.5,7.9,244.0,3.2,46.0,5347.0
10 Rond de Energiecentrale,119.9,37.2,14.2,17.9,40.2,57.9,32.6,9.5,15.0,9.0,7.6,1.9,64.3,402.0,20.6,184.0,5973.0
11 Kortenbos,120.5,38.9,16.6,15.1,45.4,57.9,29.8,12.3,9.0,14.0,13.4,1.6,75.3,966.0,4.2,101.0,7271.0
12 Voorhout,40.0,39.9,19.6,8.8,48.0,48.4,28.6,23.1,4.0,6.0,15.6,1.4,28.0,988.0,2.3,904.0,2367.0
13 Uilebomen,111.2,38.6,15.5,16.5,37.8,48.3,33.8,17.9,9.0,6.0,11.3,1.7,65.6,849.0,5.1,21.0,3190.0
14 Zuidwal,137.3,37.9,13.3,11.8,42.4,63.4,27.5,9.1,15.0,14.0,20.1,1.6,86.5,2341.0,11.5,342.0,6900.0
15 Schildersbuurt-West,219.9,34.6,12.6,28.3,7.6,63.6,28.3,8.1,41.0,9.0,6.0,2.6,85.5,979.0,12.6,355.0,14142.0
16 Schildersbuurt-Noord,215.7,35.8,15.7,29.8,11.4,67.9,25.9,6.2,30.0,14.0,5.0,2.4,91.3,765.0,6.2,183.0,9991.0
17 Schildersbuurt-Oost,207.8,35.0,14.1,29.9,6.3,63.6,27.9,8.5,18.0,3.0,4.4,2.8,75.5,434.0,26.3,129.0,7241.0
18 Huygenspark,173.9,31.9,8.5,14.2,25.1,70.9,22.6,6.5,18.0,6.0,8.2,1.7,100.6,945.0,7.5,74.0,7925.0
19 Laakhaven-Oost,139.6,34.1,10.9,18.2,19.1,63.6,29.4,7.0,12.0,3.0,4.6,1.9,74.3,418.0,9.8,508.0,4077.0
20 Moerwijk-Oost,89.7,36.1,16.2,29.2,23.6,76.4,19.4,4.2,16.0,7.0,3.4,1.9,47.4,230.0,8.3,100.0,3272.0
21 Groente- en Fruitmarkt,117.6,32.9,8.8,29.4,10.9,52.9,35.3,11.8,32.0,5.0,5.1,3.1,37.8,361.0,34.7,427.0,5254.0
22 Laakhaven-West,98.4,34.3,11.3,22.9,18.2,69.7,24.8,5.5,19.0,4.0,7.3,1.9,50.8,614.0,28.6,312.0,5523.0
23 Spoorwijk,131.2,34.2,10.3,30.4,21.7,54.2,33.7,12.1,16.0,3.0,1.2,2.7,48.7,262.0,0.0,109.0,4338.0
24 Laakkwartier-West,176.8,34.5,10.3,24.1,29.7,53.4,39.1,7.5,28.0,13.0,5.1,2.3,76.8,485.0,6.2,493.0,8115.0
25 Laakkwartier-Oost,206.5,34.5,11.1,22.7,30.7,54.9,39.3,5.8,31.0,7.0,5.1,2.2,94.0,613.0,12.6,626.0,11277.0
26 Noordpolderbuurt,172.7,34.1,10.6,24.0,15.7,65.2,30.1,4.7,29.0,12.0,3.9,2.2,78.9,551.0,4.9,284.0,8401.0
30 Rustenburg,181.6,36.4,15.1,24.3,47.6,51.1,41.0,7.9,8.0,3.0,3.1,2.1,87.5,264.0,13.0,244.0,6116.0
31 Oostbroek-Noord,200.4,34.2,9.4,23.8,31.1,48.1,44.0,7.9,18.0,13.0,7.8,2.2,90.8,264.0,2.9,192.0,4516.0
32 Transvaalkwartier-Noord,213.7,35.2,13.8,26.2,8.6,71.5,23.5,5.0,16.0,3.0,7.4,2.2,96.2,271.0,19.8,135.0,3947.0
33 Transvaalkwartier-Midden,183.0,34.9,17.8,35.3,7.4,59.8,32.4,7.8,18.0,9.0,6.6,2.7,67.5,429.0,5.1,186.0,5001.0
34 Transvaalkwartier-Zuid,200.8,33.4,9.8,29.9,6.5,55.8,35.0,9.2,28.0,8.0,5.1,2.9,69.6,791.0,7.9,306.0,7251.0
35 Oostbroek-Zuid,216.2,33.3,8.5,26.0,26.8,49.9,43.5,6.6,15.0,10.0,5.2,2.3,92.3,473.0,2.6,413.0,8114.0
36 Zuiderpark,1.2,73.0,378.3,4.3,81.1,87.5,12.5,0.0,0.0,0.0,0.5,1.1,1.1,194.0,6.8,2.0,111.0
37 Moerwijk-West,125.6,37.4,20.7,32.4,25.8,78.0,19.1,2.9,22.0,6.0,3.8,1.9,65.3,419.0,1.7,127.0,6251.0
38 Moerwijk-Noord,152.3,35.5,14.5,28.2,26.5,60.9,33.2,5.9,10.0,4.0,1.5,2.3,67.6,479.0,5.1,311.0,7047.0
39 Moerwijk-Zuid,112.0,32.9,13.2,33.1,25.6,70.4,22.2,7.4,19.0,7.0,1.7,2.0,55.8,240.0,7.6,72.0,4603.0
40 Nieuw Waldeck,118.5,42.5,33.5,26.2,63.0,54.9,35.2,9.9,13.0,6.0,1.8,2.0,60.6,235.0,0.7,134.0,7209.0
41 Zorgvliet,5.9,49.1,64.5,25.3,53.7,22.5,30.6,46.9,0.0,2.0,1.5,1.4,4.1,90.0,0.0,23.0,503.0
42 Stadhoudersplantsoen,90.9,42.1,32.7,24.2,53.6,39.3,38.2,22.4,2.0,4.0,4.7,1.7,54.2,87.0,1.4,19.0,1970.0
43 Sweelinckplein eo,135.7,37.7,16.2,23.6,59.7,35.1,31.6,33.2,4.0,11.0,6.1,2.0,67.3,234.0,7.4,98.0,5823.0
44 Koningsplein eo,182.3,36.6,12.5,19.0,55.8,50.3,29.8,19.9,11.0,9.0,7.5,1.9,95.8,410.0,9.2,160.0,7584.0
45 Zeeheldenkwartier,146.3,37.6,13.9,16.2,52.4,53.0,29.3,17.7,19.0,23.0,10.4,1.8,79.7,710.0,8.0,211.0,11853.0
46 Archipelbuurt,70.9,43.7,33.5,21.4,57.9,35.0,31.1,34.0,6.0,11.0,4.8,1.7,42.6,269.0,5.6,205.0,6106.0
47 Willemspark,44.7,42.9,26.6,14.5,50.6,37.1,35.8,27.1,1.0,7.0,9.6,1.3,35.0,114.0,1.8,121.0,1491.0
48 Nassaubuurt,57.8,41.2,33.1,31.8,57.0,22.9,27.9,49.2,4.0,4.0,4.1,2.2,26.5,82.0,2.9,28.0,1633.0
49 Haagse Bos,3.7,54.5,77.5,11.3,51.6,44.0,40.0,16.0,1.0,0.0,0.3,1.0,3.8,127.0,0.0,44.0,436.0
50 Bloemenbuurt-West,86.6,46.3,42.5,27.1,77.3,24.9,43.5,31.6,2.0,6.0,4.7,2.1,41.2,80.0,0.0,28.0,2348.0
51 Bloemenbuurt-Oost,108.9,42.1,30.5,24.7,69.1,34.9,45.5,19.5,2.0,9.0,4.5,1.9,57.2,213.0,7.2,84.0,6464.0
