neigb_cijf,Gross population density,Average age of population,Grey pressure (65+ as % of 15 to 64-year-olds),Green pressure (-14 as % of 15 to 64-year-olds),% Dutch natives,% private households with a low income,% private households with an average income,% private households with a high income,"Number of establishments, transportation and storage",Number of medical facilities,gross non-housing density (BAG),non-housing density (rateable value (OZB)),gross housing density (BAG),All offences,% companies,Bouw,Number of residents per 1-
52 Bomenbuurt,113.8,42.1,30.7,24.9,65.8,37.6,41.9,20.5,3.0,17.0,7.7,1.8,61.8,273.0,5.3,101.0,5883.0
53 Vruchtenbuurt,134.8,39.9,24.6,29.0,74.8,24.7,44.6,30.6,5.0,25.0,4.6,2.2,60.7,189.0,10.3,118.0,7164.0
54 Heesterbuurt,167.0,36.8,14.2,22.3,56.4,53.0,37.0,10.0,15.0,9.0,4.8,1.9,88.4,274.0,22.5,186.0,6824.0
55 Valkenboskwartier,176.0,36.7,12.8,19.4,45.9,50.8,35.4,13.8,33.0,14.0,8.1,1.9,91.2,568.0,14.5,312.0,11463.0
60 Binckhorst,13.6,35.5,0.6,2.6,23.9,75.8,17.2,6.9,13.0,1.0,3.2,6.9,2.0,369.0,45.4,754.0,1793.0
61 Landen,85.1,41.4,31.6,25.0,45.2,62.5,29.7,7.8,11.0,2.0,5.1,1.7,50.2,200.0,1.8,64.0,5153.0
62 Rivierenbuurt-Zuid,85.5,33.3,7.0,7.5,26.8,77.0,19.5,3.5,1.0,0.0,6.4,1.7,49.7,66.0,52.1,33.0,850.0
63 Rivierenbuurt-Noord,109.3,36.1,13.1,19.5,37.5,57.2,25.6,17.2,11.0,4.0,10.1,1.8,59.5,838.0,15.6,211.0,3878.0
64 Bezuidenhout-West,63.2,34.3,11.7,18.7,29.3,59.0,28.2,12.8,12.0,0.0,2.5,1.7,37.1,302.0,3.5,2156.0,3399.0
65 Bezuidenhout-Midden,69.8,37.5,18.0,25.0,52.2,31.1,37.9,30.9,8.0,8.0,7.2,1.9,37.2,421.0,1.6,1295.0,4281.0
66 Bezuidenhout-Oost,118.4,38.9,17.9,16.6,61.2,36.7,43.4,19.9,16.0,15.0,4.0,1.7,68.3,395.0,8.0,147.0,9027.0
67 Kampen,42.4,41.8,30.7,22.4,46.3,63.1,31.0,5.9,3.0,5.0,5.3,1.6,26.7,92.0,1.2,29.0,2457.0
68 Marlot,9.3,41.2,37.1,35.8,59.9,8.5,25.4,66.1,0.0,1.0,0.6,2.3,4.1,33.0,0.0,10.0,811.0
69 Burgen en Horsten,70.6,44.8,42.0,23.1,50.0,57.0,33.0,10.0,17.0,11.0,7.4,1.7,41.7,331.0,0.6,68.0,6299.0
71 Belgisch Park,84.5,42.0,31.2,23.3,63.4,35.1,35.4,29.4,11.0,15.0,5.0,2.0,42.4,460.0,1.3,80.0,8202.0
72 Rijslag,64.9,44.6,40.0,21.7,69.0,48.8,27.0,24.1,1.0,7.0,3.4,1.8,36.7,73.0,3.8,29.0,1612.0
73 Westbroekpark,21.4,53.6,102.9,26.0,64.6,27.4,27.4,45.3,1.0,0.0,1.5,1.7,12.3,106.0,2.7,20.0,881.0
74 Duttendel,8.3,50.7,68.2,27.9,66.0,22.3,34.4,43.3,1.0,3.0,2.0,1.8,4.7,74.0,1.7,21.0,1081.0
75 Uilennest,71.7,46.8,49.6,25.5,58.3,23.4,47.3,29.3,1.0,2.0,7.3,1.7,42.4,44.0,0.7,19.0,2107.0
76 Duinzigt,36.2,58.9,134.4,24.0,63.1,21.7,44.6,33.7,2.0,0.0,10.6,1.4,25.2,108.0,0.0,6.0,2501.0
77 Waalsdorp,60.8,40.4,34.1,40.5,63.8,17.2,29.9,52.9,1.0,10.0,2.7,2.2,27.8,120.0,2.4,42.0,3824.0
78 Arendsdorp,25.4,44.5,48.9,37.8,57.8,22.9,22.9,54.1,0.0,3.0,1.8,1.5,17.2,69.0,2.1,47.0,1309.0
79 v Hoytemastraat eo,93.1,37.9,23.7,37.0,59.8,20.1,30.4,49.5,1.0,5.0,5.7,2.3,41.2,66.0,0.7,39.0,2363.0
80 Morgenstond-Zuid,126.7,36.3,15.6,27.1,25.9,68.2,28.2,3.6,17.0,5.0,3.9,2.0,62.6,439.0,4.8,218.0,5943.0
81 Bosjes van Pex,8.8,44.4,28.5,18.6,72.5,30.0,45.0,25.0,1.0,0.0,2.0,1.9,4.6,47.0,5.2,3.0,403.0
82 Rosenburg,58.8,51.7,68.1,17.2,71.8,54.7,36.8,8.5,3.0,5.0,3.8,1.8,31.8,293.0,1.5,32.0,2913.0
83 Eykenduynen,54.0,41.5,23.9,22.9,75.3,31.6,47.7,20.7,4.0,6.0,1.9,2.0,27.3,115.0,3.0,86.0,2644.0
84 Leyenburg,116.4,41.5,27.0,21.2,63.3,46.2,43.9,9.8,23.0,12.0,5.7,2.0,59.4,704.0,3.3,357.0,14905.0
85 Kerketuinen/Zichtenburg,0.6,45.2,6.3,0.0,43.1,43.9,40.5,15.7,14.0,1.0,4.5,0.9,0.7,225.0,62.5,504.0,51.0
86 Houtwijk,92.6,42.6,31.8,25.4,65.7,37.1,43.6,19.4,20.0,9.0,3.8,2.3,40.8,524.0,25.1,332.0,12829.0
87 Venen/Oorden/Raden,110.8,36.6,19.8,32.2,26.1,64.5,28.7,6.8,32.0,7.0,3.9,2.3,48.2,479.0,0.9,162.0,8581.0
88 Morgenstond-West,124.4,38.0,22.3,29.6,34.4,52.2,34.5,13.3,17.0,16.0,3.1,2.2,55.5,445.0,1.7,137.0,7407.0
89 Morgenstond-Oost,95.2,38.1,20.2,25.7,35.7,72.2,22.3,5.6,17.0,9.0,4.7,1.7,56.2,472.0,0.0,213.0,5570.0
90 Ockenburgh,2.4,41.8,22.8,17.5,68.7,17.0,27.6,55.4,1.0,2.0,0.8,2.3,1.1,180.0,1.2,9.0,793.0
91 Kijkduin,11.7,53.1,80.5,19.0,75.3,28.6,37.0,34.4,1.0,0.0,1.7,1.9,6.2,71.0,0.5,16.0,1552.0
92 Bohemen/Meer en Bos,58.6,53.4,75.4,17.9,73.3,44.1,39.5,16.5,3.0,7.0,2.8,1.6,37.5,153.0,0.4,45.0,4489.0
93 Componistenbuurt,127.7,50.6,64.0,19.5,72.7,29.1,51.7,19.3,2.0,4.0,10.9,1.7,74.7,41.0,1.1,15.0,1829.0
94 Waldeck-Noord,95.7,60.2,136.9,14.9,73.5,50.4,42.3,7.3,1.0,8.0,17.5,1.4,68.3,114.0,0.0,21.0,3152.0
95 Kom Loosduinen,108.7,48.9,54.5,20.6,75.7,57.6,34.2,8.2,11.0,12.0,5.0,1.7,64.6,201.0,3.0,71.0,4981.0
96 Zijden/Steden/Zichten,84.4,36.8,19.1,31.2,27.1,61.8,31.6,6.6,29.0,11.0,3.6,2.2,38.3,447.0,3.9,197.0,7853.0
97 Kraayenstein & Vroondaal,19.5,42.1,28.2,25.4,70.6,33.5,40.4,26.1,5.0,1.0,0.5,2.1,9.1,250.0,2.9,87.0,5857.0
98 Dreven en Gaarden,113.3,38.0,26.2,32.9,27.9,62.7,29.5,7.8,26.0,14.0,3.0,2.3,48.8,447.0,5.8,225.0,10818.0
99 De Uithof,10.1,52.7,92.8,28.5,76.4,71.8,10.8,17.3,2.0,1.0,0.2,1.9,5.2,90.0,7.1,19.0,1383.0
100 Duindorp,70.4,39.2,21.3,28.1,82.7,50.2,37.7,12.1,6.0,5.0,1.5,2.1,33.5,200.0,1.1,89.0,5961.0
101 Erasmus Veld,29.8,44.8,36.0,23.8,56.5,39.3,32.0,28.6,4.0,3.0,0.5,3.0,10.0,63.0,11.9,91.0,2154.0
102 Hoge Veld,88.3,32.6,12.6,42.9,52.9,27.2,39.6,33.2,26.0,8.0,1.3,2.9,30.6,245.0,2.9,172.0,8684.0
103 Parkbuurt Oosteinde,78.5,39.1,15.1,25.5,65.7,11.1,34.5,54.4,3.0,1.0,0.8,2.8,27.7,75.0,16.7,36.0,3462.0
104 Lage Veld,118.7,39.5,19.0,25.7,52.6,32.2,41.6,26.3,14.0,4.0,0.6,2.6,45.2,89.0,1.2,67.0,4282.0
105 Zonne Veld,75.1,34.4,7.0,28.9,53.7,22.5,40.7,36.8,13.0,4.0,0.9,3.1,23.9,104.0,7.7,46.0,3440.0
106 Vlietzoom-West,1.0,44.6,32.4,22.5,84.9,69.7,15.2,15.1,8.0,0.0,3.3,2.7,0.4,43.0,39.2,603.0,172.0
108 Bosweide,30.3,37.0,12.9,32.6,65.7,6.9,18.5,74.7,1.0,0.0,0.9,3.1,9.8,49.0,0.0,11.0,2051.0
110 De Reef,2.2,25.8,0.0,0.0,51.4,69.7,15.2,15.1,0.0,0.0,0.3,8.6,0.3,47.0,0.0,29.0,112.0
111 De Venen,52.4,31.0,6.5,35.3,47.9,36.1,40.8,23.1,9.0,3.0,2.1,2.4,22.0,110.0,4.0,87.0,1756.0
112 Morgenweide,86.9,34.6,10.9,32.8,54.0,26.4,42.7,31.0,17.0,8.0,1.2,2.6,33.3,291.0,0.2,112.0,7122.0
113 Singels,102.7,37.0,13.0,27.9,57.3,28.7,34.9,36.5,7.0,5.0,1.2,2.8,37.0,128.0,0.0,58.0,5603.0
114 Waterbuurt,58.6,34.4,9.8,32.1,54.6,29.2,42.2,28.7,8.0,3.0,1.4,2.8,20.6,119.0,72.2,111.0,4782.0
115 De Bras,70.6,32.8,6.8,41.6,70.2,20.9,29.9,49.2,8.0,4.0,0.4,3.1,22.7,112.0,2.1,84.0,5851.0
116 Vlietzoom-Oost,0.8,51.4,56.5,11.3,83.7,19.8,48.0,32.2,3.0,0.0,1.3,3.4,0.2,41.0,13.6,4.0,104.0
117 De Rivieren,0.1,40.5,4.5,4.5,100.0,19.8,48.0,32.2,18.0,1.0,2.4,3.0,0.0,129.0,57.4,330.0,24.0
118 De Lanen,81.1,31.6,6.5,43.1,55.8,15.9,41.1,42.9,9.0,1.0,0.5,3.2,25.7,148.0,0.0,70.0,5256.0
119 De Velden,60.0,37.3,13.9,28.7,61.0,16.8,44.7,38.5,15.0,5.0,1.0,2.8,21.6,154.0,0.3,98.0,4218.0
120 De Vissen,74.4,38.8,18.3,29.3,63.0,22.4,39.3,38.4,18.0,13.0,0.6,2.7,27.3,165.0,0.0,63.0,8526.0
121 Rietbuurt,31.0,29.7,6.2,50.2,56.3,21.0,38.1,40.9,7.0,1.0,0.2,3.1,10.1,54.0,6.9,37.0,2756.0
