neigb_cijf,Gross population density,Average age of population,Grey pressure (65+ as % of 15 to 64-year-olds),Green pressure (-14 as % of 15 to 64-year-olds),% Dutch natives,% private households with a low income,% private households with an average income,% private households with a high income,"Number of establishments, transportation and storage",Number of medical facilities,gross non-housing density (BAG),non-housing density (rateable value (OZB)),gross housing density (BAG),All offences,% companies,Bouw,Number of residents per 1-
98 Dreven en Gaarden,112.1,37.9,26.7,33.7,29.4,62.0,30.6,7.4,22.0,14.0,3.0,2.3,48.2,588.0,4.8,201.0,10699.0
99 De Uithof,9.7,53.3,100.3,27.5,76.8,73.8,10.5,15.7,2.0,1.0,0.2,1.9,5.1,83.0,11.8,16.0,1333.0
100 Duindorp,69.7,39.0,21.3,28.4,83.9,49.9,37.8,12.4,5.0,5.0,1.5,2.1,33.5,214.0,1.1,76.0,5908.0
101 Erasmus Veld,29.1,45.1,35.4,23.0,58.6,36.9,34.2,28.9,4.0,4.0,0.5,2.9,10.0,84.0,4.3,83.0,2105.0
102 Hoge Veld,85.4,32.5,12.5,42.5,54.2,27.9,39.9,32.3,22.0,8.0,1.2,2.8,30.0,316.0,3.0,164.0,8393.0
103 Parkbuurt Oosteinde,77.7,38.8,14.5,27.4,67.2,10.4,35.0,54.6,4.0,2.0,0.8,2.8,27.6,99.0,13.6,32.0,3428.0
104 Lage Veld,118.4,39.2,18.3,25.7,55.1,31.2,42.0,26.9,14.0,3.0,0.6,2.6,45.2,100.0,7.7,60.0,4271.0
105 Zonne Veld,74.8,34.2,6.7,29.6,55.3,22.9,41.2,35.9,11.0,4.0,0.9,3.1,23.9,130.0,7.7,50.0,3426.0
106 Vlietzoom-West,1.0,44.9,36.5,29.8,87.3,56.0,19.7,24.4,9.0,0.0,2.3,2.7,0.4,44.0,54.6,588.0,173.0
108 Bosweide,29.9,36.3,12.8,36.5,66.5,7.2,19.1,73.8,2.0,0.0,0.9,3.0,9.8,48.0,9.1,12.0,2029.0
110 De Reef,0.0,37.0,0.0,0.0,86.9,69.7,15.2,15.1,0.0,0.0,0.3,1.0,0.0,46.0,0.0,23.0,69.0
111 De Venen,51.8,30.4,5.4,35.4,47.9,36.3,41.1,22.6,6.0,3.0,2.1,2.4,21.8,123.0,4.0,93.0,1735.0
112 Morgenweide,87.3,34.0,10.3,34.2,54.8,27.2,42.4,30.4,10.0,8.0,1.1,2.6,33.3,225.0,0.2,111.0,7159.0
113 Singels,102.8,36.6,12.5,30.5,58.9,27.7,36.7,35.7,7.0,5.0,1.2,2.8,36.5,138.0,3.5,59.0,5607.0
114 Waterbuurt,58.4,33.9,9.5,33.8,55.1,30.6,42.8,26.7,7.0,3.0,1.4,2.8,20.6,111.0,71.1,96.0,4767.0
115 De Bras,71.2,32.1,6.5,44.4,70.6,21.1,30.8,48.2,10.0,4.0,0.4,3.1,22.6,111.0,2.3,76.0,5901.0
116 Vlietzoom-Oost,1.0,51.0,55.4,10.8,85.4,22.7,46.3,31.0,3.0,0.0,1.3,4.0,0.2,37.0,13.7,4.0,123.0
117 De Rivieren,0.2,41.4,0.0,4.2,100.0,22.7,46.3,31.0,18.0,1.0,2.4,3.1,0.0,117.0,57.5,311.0,25.0
118 De Lanen,80.7,31.3,5.9,43.7,58.0,16.3,42.2,41.6,8.0,1.0,0.5,3.1,25.7,127.0,0.0,92.0,5228.0
119 De Velden,60.2,36.6,12.7,31.2,62.1,17.3,43.1,39.5,15.0,5.0,1.0,2.8,21.6,182.0,0.3,84.0,4232.0
120 De Vissen,74.6,38.1,17.1,31.0,63.5,22.8,38.6,38.6,16.0,15.0,0.6,2.7,27.2,147.0,0.0,62.0,8543.0
121 Rietbuurt,30.4,29.1,5.6,50.8,57.6,20.4,38.9,40.7,6.0,1.0,0.2,3.1,10.0,71.0,6.3,32.0,2700.0
